FDA,(Multiple Items),,,,,,
,,,,,,,
Sum of Total_Amount_of_Payment_USDollars,,,,,,,
Row Labels,Total,,overall,fda investment,fda,,0.097493711
10/2/14,253008.03,9/12/14,234704.18,83748.49,4.2,,
10/3/14,68925.31,9/13/14,5264.6,5264.6,0.0,,
10/5/14,6162.5,9/14/14,4274.85,4274.85,4.4,,
10/6/14,164476.18,9/15/14,321708.07,222024.72,4.2,,
10/7/14,259927.2,9/16/14,900926.17,132066.15,2.8,,
10/8/14,116842.56,9/17/14,228681.07,88929.78,3.0,,
10/9/14,61673.44,9/18/14,536708.22,415910,3.2,,
10/10/14,231644.27,9/19/14,256443.14,86255.25,0.0,,
10/13/14,15739.28,9/20/14,1280.61,162.81,3.2,,
10/14/14,92384.22,9/21/14,3794.31,3794.31,5.0,,
10/15/14,197250.98,9/22/14,309766.07,240598.88,5.4,,
10/16/14,26582.19,9/23/14,1266918.5,514710.72,5.0,,
10/17/14,61364.69,9/24/14,1288255.94,839651.77,0.0,,
10/20/14,373328.2,9/25/14,851874.56,271022.4,4.6,,
10/21/14,113686.3,9/26/14,277294.85,116799.39,0.0,,
10/22/14,175598.7,9/27/14,13164.45,420,0.0,,
10/23/14,155680.58,9/28/14,6743,0,0.0,,
10/24/14,162812.79,9/29/14,585043.21,109187.28,0.0,,
10/26/14,14768,9/30/14,380512.35,285126.89,4.2,,
10/27/14,214521.91,10/1/14,505318.11,70980.9,2.4,,
10/28/14,827072,10/2/14,632302.07,253008.03,1.4,,
10/29/14,395335.96,10/3/14,442582.44,68925.31,2.2,,
10/30/14,100245.1,10/4/14,4611.71,0,2.8,,
10/31/14,371270.41,10/5/14,6162.5,6162.5,0.0,,
11/1/14,40356.5,10/6/14,391120.37,164476.18,0.0,,
11/2/14,5627.2,10/7/14,352616.67,259927.2,0.0,,
11/3/14,33564.22,10/8/14,419895.29,116842.56,0.0,,
11/4/14,200794.69,10/9/14,326223.66,61673.44,2.8,,
11/5/14,83069.09,10/10/14,1332686.63,231644.27,3.0,,
11/6/14,431242.66,10/11/14,380.34,0,2.6,,
11/7/14,51147.01,10/12/14,260.27,0,0.0,,
11/8/14,1391.42,10/13/14,30307.28,15739.28,0.0,,
11/9/14,659.94,10/14/14,443060.01,92384.22,2.2,,
11/10/14,72870.25,10/15/14,845759.11,197250.98,2.0,,
11/11/14,120682.1,10/16/14,299948.41,26582.19,0.0,,
11/12/14,354673.86,10/17/14,462595.3,61364.69,2.0,,
11/13/14,115254.13,10/18/14,2964.54,0,0.0,,
11/14/14,57474.37,10/20/14,597560.96,373328.2,0.0,,
11/15/14,31333.61,10/21/14,2642013.93,113686.3,0.0,,
11/16/14,1290.44,10/22/14,507591.82,175598.7,2.0,,
11/17/14,222670.82,10/23/14,442575.55,155680.58,2.4,,
11/18/14,139296.59,10/24/14,665996.82,162812.79,2.4,,
11/19/14,274776.13,10/25/14,698.94,0,2.4,,
11/20/14,1106333.98,10/26/14,21641,14768,0.0,,
11/21/14,3449800.5,10/27/14,523118.33,214521.91,0.0,,
11/22/14,3061.65,10/28/14,1057658.82,827072,0.0,,
11/23/14,50830.65,10/29/14,607976.65,395335.96,2.6,,
11/24/14,97190.86,10/30/14,683369.97,100245.1,2.4,,
11/25/14,81548.01,10/31/14,821311.79,371270.41,2.8,,
11/26/14,194794.06,11/1/14,58182.54,40356.5,0.0,,
11/29/14,585.18,11/2/14,6221.2,5627.2,0.0,,
11/30/14,109.64,11/3/14,480817.79,33564.22,2.0,,
12/1/14,240913.11,11/4/14,412541.33,200794.69,1.8,,
12/2/14,15825.11,11/5/14,284398.72,83069.09,3.2,,
12/3/14,461518,11/6/14,822674.51,431242.66,2.4,,
12/4/14,329472.89,11/7/14,203467.93,51147.01,2.4,,
12/5/14,140506.17,11/8/14,3944.17,1391.42,0.0,,
12/6/14,3732.75,11/9/14,1509.94,659.94,3.0,,
12/7/14,263.07,11/10/14,740293.58,72870.25,3.4,,
12/8/14,26361.85,11/11/14,553625.96,120682.1,2.2,,
12/9/14,198583.33,11/12/14,623961.38,354673.86,3.2,,
12/10/14,85830.68,11/13/14,502930.54,115254.13,3.2,,
12/11/14,213716.81,11/14/14,143802.48,57474.37,3.2,,
12/12/14,103977.66,11/15/14,89475.39,31333.61,0.0,,
12/14/14,577.76,11/16/14,3712.98,1290.44,3.2,,
12/15/14,81141.83,11/17/14,809325.1,222670.82,3.6,,
12/16/14,18053.36,11/18/14,680063.88,139296.59,3.4,,
12/17/14,186403.52,11/19/14,602082.85,274776.13,0.0,,
12/18/14,152224.35,11/20/14,1521415.67,1106333.98,0.0,,
12/19/14,333549.13,11/21/14,3559556.42,3449800.5,0.0,,
12/22/14,115590.57,11/22/14,276786.65,3061.65,3.4,,
12/23/14,80867.57,11/23/14,50830.65,50830.65,3.2,,
12/24/14,35223.35,11/24/14,555166.55,97190.86,2.8,,
12/26/14,15116.15,11/25/14,1356825.42,81548.01,0.0,,
12/29/14,67458.78,11/26/14,626027.85,194794.06,2.2,,
12/30/14,174691.17,11/27/14,10592.97,0,2.0,,
12/31/14,158468.63,11/28/14,4463.49,0,2.6,,
Grand Total,106186295.9,11/29/14,585.18,585.18,0.0,,
,,11/30/14,8213.07,109.64,,,
,,12/1/14,929345.96,240913.11,,,
,,12/2/14,772404.78,15825.11,,,
,,12/3/14,848676.5,461518,,,
,,12/4/14,1313544.63,329472.89,,,
,,12/5/14,386293.72,140506.17,,,
,,12/6/14,3782.75,3732.75,,,
,,12/7/14,1033.02,263.07,,,
,,12/8/14,135124.87,26361.85,,,
,,12/9/14,345755.45,198583.33,,,
,,12/10/14,477871.26,85830.68,,,
,,12/11/14,625610.09,213716.81,,,
,,12/12/14,344284.36,103977.66,,,
,,12/13/14,2525,0,,,
,,12/14/14,577.76,577.76,,,
,,12/15/14,331715.36,81141.83,,,
,,12/16/14,329221.57,18053.36,,,
,,12/17/14,505633.19,186403.52,,,
,,12/18/14,243651.81,152224.35,,,
,,12/19/14,719792.45,333549.13,,,
,,12/21/14,2783.04,0,,,
,,12/22/14,505376.88,115590.57,,,
,,12/23/14,395595.66,80867.57,,,
,,12/24/14,83692.53,35223.35,,,
,,12/25/14,78534,0,,,
,,12/26/14,93830.89,15116.15,,,
,,12/29/14,410204.67,67458.78,,,
,,12/30/14,375865.79,174691.17,,,
,,12/31/14,637412.41,158468.63,,,
,,Grand Total,223289166.4,106186295.9,,,
